Coffee_name,Variant Id,Coffee maker qty,day,day time,month,Time to wait (min)
Cappuccino,1009,2,Tuesday,Lunchtime,March,6
Latte,1014,2,Thursday,Lunchtime,August,8
Americano,1002,2,Tuesday,Evening,February,7
Cacao,1008,2,Sunday,Lunchtime,November,10
Americano,1002,2,Sunday,Evening,March,7
Cacao,1007,2,Wednesday,Morning,October,11
Cacao,1007,2,Sunday,Morning,February,13
Cappuccino,1011,2,Saturday,Morning,January,14
Americano,1002,2,Thursday,Morning,October,8
Americano,1003,2,Tuesday,Lunchtime,October,5
Latte,1013,2,Saturday,Morning,June,13
Cappuccino,1011,2,Sunday,Lunchtime,September,9
Americano,1003,1,Tuesday,Evening,June,5
Cappuccino,1009,2,Monday,Morning,May,8
Espresso,1005,2,Tuesday,Lunchtime,July,5
Cappuccino,1011,2,Wednesday,Evening,December,5
Espresso,1004,1,Friday,Evening,April,3
Latte,1014,2,Saturday,Evening,December,9
Cappuccino,1010,2,Friday,Morning,March,10
Latte,1013,2,Tuesday,Evening,January,7
Latte,1014,2,Saturday,Evening,January,11
Espresso,1005,2,Thursday,Evening,January,4
Americano,1003,2,Thursday,Lunchtime,May,6
Latte,1012,2,Friday,Lunchtime,November,5
Americano,1001,2,Sunday,Morning,January,10
Cappuccino,1010,2,Saturday,Lunchtime,April,9
Espresso,1005,2,Tuesday,Lunchtime,February,6
Cacao,1008,2,Tuesday,Lunchtime,January,9
Espresso,1004,2,Saturday,Lunchtime,August,7
Cacao,1007,2,Wednesday,Morning,October,12
Americano,1001,2,Sunday,Morning,March,10
Cacao,1007,2,Saturday,Evening,January,12
Cacao,1007,2,Saturday,Morning,March,15
Cacao,1006,2,Wednesday,Morning,March,9
Cappuccino,1009,2,Saturday,Lunchtime,August,8
Cappuccino,1011,2,Saturday,Lunchtime,February,12
Espresso,1005,2,Sunday,Lunchtime,May,6
Americano,1002,2,Thursday,Morning,October,7
Americano,1001,2,Tuesday,Morning,July,8
Cacao,1007,2,Tuesday,Morning,March,10
Americano,1001,2,Sunday,Evening,February,9
Espresso,1004,2,Tuesday,Lunchtime,February,3
Cacao,1006,1,Tuesday,Evening,April,10
Cacao,1007,2,Sunday,Lunchtime,January,9
Cappuccino,1011,2,Sunday,Evening,November,6
Americano,1002,2,Thursday,Morning,June,8
Americano,1002,2,Friday,Morning,May,7
Americano,1002,2,Tuesday,Morning,June,7
Latte,1014,2,Saturday,Lunchtime,August,12
Latte,1014,2,Thursday,Morning,July,11
Americano,1003,2,Friday,Morning,July,10
Espresso,1005,2,Tuesday,Morning,July,8
Americano,1003,2,Thursday,Morning,January,11
Cappuccino,1011,2,Sunday,Lunchtime,October,11
Latte,1012,1,Thursday,Evening,June,7
Latte,1014,2,Sunday,Lunchtime,September,8
Cappuccino,1010,2,Thursday,Lunchtime,June,5
Cappuccino,1010,2,Wednesday,Lunchtime,May,7
Cappuccino,1010,2,Thursday,Lunchtime,April,6
Cacao,1006,2,Wednesday,Lunchtime,December,5
Cacao,1006,1,Thursday,Evening,August,7
Americano,1002,2,Saturday,Lunchtime,June,7
Cacao,1006,2,Friday,Morning,March,11
Cappuccino,1010,2,Tuesday,Lunchtime,July,5
Cacao,1006,1,Thursday,Evening,June,6
Cacao,1006,2,Thursday,Lunchtime,September,7
Latte,1012,1,Monday,Evening,July,9
Cappuccino,1010,2,Monday,Morning,July,10
Espresso,1005,2,Saturday,Evening,February,10
Espresso,1004,2,Sunday,Morning,October,12
Americano,1001,2,Friday,Lunchtime,December,6
Cacao,1008,1,Wednesday,Evening,March,8
Latte,1013,2,Wednesday,Morning,April,11
Americano,1002,2,Saturday,Lunchtime,December,7
Cacao,1006,2,Friday,Morning,December,9
